IDRSSD,date,Financial Institution Name,Institution Name ,defaulter,Failure / Assistance ,total_assets,company ratio 1,company ratio 2,company ratio 3,company ratio 4,company ratio 5,MEV 1,MEV 2,default_within_1Y,Failure,num_records,non_defaulter,const
139432,6/30/2012,HERITAGE BANK OF NORTH FLORIDA,HERITAGE BANK OF NORTH FLORIDA,1,FAILURE,126605,-0.134075926,-0.857743591,-0.857743591,-0.09101325,-1.041838603,-0.585791248,-0.52182378,1,1,48,0,1
694904,3/31/2014,NEW YORK COMMUNITY BANK,,0,,43894323,4.178847963,0.102800661,0.102800661,-1.00124135,0.024420021,0.341183251,1.487402872,0,,60,1,1
996260,9/30/2008,CHINATRUST BANK (U.S.A.),,0,,2606987,2.09660565,-0.283023714,-0.283023714,-1.086794181,-0.729727045,0.248485801,-2.86592154,0,,60,1,1
2171100,3/31/2011,FIDELITY BANK,FIDELITY BANK,1,FAILURE,896472,1.30939534,-0.216242209,-0.216242209,0.193198906,-0.462964628,0.89736795,0.348841103,1,1,43,0,1
2902041,6/30/2009,NEW LIBERTY BANK,NEW LIBERTY BANK,1,FAILURE,123258,-0.153833763,-0.946761253,-0.946761253,-1.374902362,-0.045731722,1.08276285,-1.928282436,1,1,36,0,1
1216022,12/31/2012,GE CAPITAL RETAIL BANK,,0,,30278916,3.905010016,1.998278533,1.998278533,8.558633909,0.70193308,-0.400396348,-0.387875336,0,,24,1,1
791474,6/30/2009,CF BANCORP,CF BANCORP,1,FAILURE,1922750,1.872098845,-2.000101394,-2.000101394,-0.690415946,-0.121448236,1.08276285,-1.928282436,1,1,36,0,1
740931,6/30/2008,"SILVERTON BANK, N.A.","SILVERTON BANK, NATIONAL ASSOCIATION",1,FAILURE,2904745,2.176360668,-0.504038372,-0.504038372,-0.869672079,0.625950786,0.155788351,-0.253926893,1,1,32,0,1
1456501,3/31/2002,MORGAN STANLEY BANK,,0,,2999982,2.200151148,0.198930322,0.198930322,-1.252917689,-5.377833441,1.268157749,-0.119978449,0,,60,1,1
84345,12/31/2008,CITIZENS STATE BANK,CITIZENS STATE BANK,1,FAILURE,199341,0.200683504,-2.765739189,-2.765739189,-0.591146233,-0.127600339,1.08276285,-1.928282436,1,1,34,0,1
436711,9/30/2014,"HUDSON VALLEY BANK, N.A.",,0,,3113803,2.22761251,-0.123732377,-0.123732377,-0.495589966,-0.646074065,0.155788351,0.482789546,0,,56,1,1
2704740,12/31/2013,"FRONTIER BANK, FSB DBA EL PASEO BANK","FRONTIER BANK, FSB",1,FAILURE,95203,-0.344292413,0.939378513,0.939378513,0.282070102,-9.356460945,0.341183251,1.487402872,1,1,10,0,1
642370,6/30/2008,COOPERATIVE BANK,COOPERATIVE BANK,1,FAILURE,973207,1.369961512,-0.292842321,-0.292842321,-0.795377713,-0.030854536,0.155788351,-0.253926893,1,1,32,0,1
3273823,9/30/2008,BRICKWELL COMMUNITY BANK,BRICKWELL COMMUNITY BANK,1,FAILURE,81562,-0.458336803,-1.233531049,-1.233531049,-0.282667678,0.251348849,0.248485801,-2.86592154,1,1,19,0,1
3284070,9/30/2014,ALLY BANK,,0,,100770791,4.79171165,0.164768532,0.164768532,-1.313577234,-0.315940115,0.155788351,0.482789546,0,,46,1,1
9807,9/30/2009,AMBOY BANK,,0,,2800382,2.149377724,0.294684012,0.294684012,-0.697583528,0.044270356,1.175460299,-0.722746445,0,,60,1,1
244907,6/30/2003,COMPASS BANK FOR SAVINGS,,0,,3984029,2.409354961,0.148546451,0.148546451,-0.559347877,2.011471455,0.433880701,0.951609098,0,,13,1,1
66837,3/31/2011,CENTRAL BANK OF GEORGIA,CENTRAL BANK OF GEORGIA,1,FAILURE,279548,0.450055769,-3.322517282,-3.322517282,-0.681973225,0.192925879,0.89736795,0.348841103,1,1,43,0,1
1160732,3/31/2009,SUN AMERICAN BANK,SUN AMERICAN BANK,1,FAILURE,601120,1.014658856,-1.49012204,-1.49012204,-1.500298362,0.014913878,1.08276285,-1.928282436,1,1,35,0,1
675332,9/30/2011,SUNTRUST BANK,,0,,166486046,5.161955484,-0.077336369,-0.077336369,-0.38212446,-0.166987405,0.155788351,-1.057617554,0,,60,1,1
2859574,9/30/2009,FIRST NATIONAL BANK OF THE SOUTH,FIRST NATIONAL BANK OF THE SOUTH,1,FAILURE,786443,1.212829263,-2.620101824,-2.620101824,-1.914095932,-1.008873165,1.175460299,-0.722746445,1,1,37,0,1
219138,12/31/2009,"GORDON BANK, THE",THE GORDON BANK,1,FAILURE,30620,-1.180819135,-3.899464771,-3.899464771,-1.744938457,-1.59896024,1.08276285,1.01858332,1,1,24,0,1
169653,9/30/2012,FIRST BANK,,0,,6477155,2.767744216,-0.010889727,-0.010889727,-0.614518323,-0.335870638,-0.771186147,0.080944216,0,,60,1,1
